2008,7,9
2008,8,2822
2008,9,12482
2008,10,16035
2008,11,18898
2008,12,21685
2009,1,24988
2009,2,28557
2009,3,32683
2009,4,36901
2009,5,42240
2009,6,47630
2009,7,53313
2009,8,59049
2009,9,64769
2009,10,74852
2009,11,87762
2009,12,99826
2010,1,112911
2010,2,125232
2010,3,139408
2010,4,154449
2010,5,170242
2010,6,186699
2010,7,204171
2010,8,222458
2010,9,239516
2010,10,258000
2010,11,278362
2010,12,299344
2011,1,323871
2011,2,350149
2011,3,380963
2011,4,410477
2011,5,439813
2011,6,469478
2011,7,501145
2011,8,533691
2011,9,565595
2011,10,595944
2011,11,627976
2011,12,658804
2012,1,693953
2012,2,731707
2012,3,772188
2012,4,811403
2012,5,868634
2012,6,927322
2012,7,995333
2012,8,1061652
2012,9,1126003
2012,10,1199696
2012,11,1271982
2012,12,1339366
2013,1,1421021
2013,2,1505694
2013,3,1606379
2013,4,1707039
2013,5,1805147
2013,6,1894664
2013,7,1991171
2013,8,2081211
2013,9,2171895
2013,10,2274757
2013,11,2373538
2013,12,2464945
2014,1,2567519
2014,2,2668457
2014,3,2777172
2014,4,2878046
2014,5,2974786
2014,6,3064938
2014,7,3163031
2014,8,3253987
2014,9,3349198
2014,10,3450562
2014,11,3550098
2014,12,3643876
2015,1,3743302
2015,2,3840558
2015,3,3951157
2015,4,4061976
2015,5,4163691
2015,6,4266190
2015,7,4373092
2015,8,4474263
2015,9,4578215
2015,10,4688793
2015,11,4795782
2015,12,4901666
2016,1,5026933
2016,2,5151390
2016,3,5288497
2016,4,5417458
2016,5,5543119
2016,6,5666126
2016,7,5787091
2016,8,5901251
2016,9,6022708
2016,10,6205765
2016,11,6337962
2016,12,6460341
2017,1,6591570
2017,2,6728414
2017,3,6885866
2017,4,7027718
2017,5,7173634
2017,6,7314839
2017,7,7466165
2017,8,7611560
2017,9,7764305
2017,10,7923622
2017,11,8076757
2017,12,8196658
2018,1,8331208
2018,2,8457285
2018,3,8606768
2018,4,8745325
2018,5,8896891
2018,6,9031867
2018,7,9175323
2018,8,9312092
2018,9,9446490
2018,10,9594016
2018,11,9733646
2018,12,9737247
