2008,android,40
2008,angular,1
2008,c#,7547
2008,c++,3202
2008,html,1554
2008,ios,123
2008,iphone,553
2008,java,6439
2008,jquery,446
2008,php,2071
2008,python,1958
2008,sql,4513
2008,windows,1684
2008,wordpress,26
2008,xcode,44
2009,android,2029
2009,angular,5
2009,c#,46505
2009,c++,16176
2009,html,10284
2009,ios,845
2009,iphone,12772
2009,java,38942
2009,jquery,8618
2009,php,18318
2009,python,12421
2009,sql,23811
2009,swift,3
2009,windows,5763
2009,wordpress,382
2009,xcode,652
2010,android,27548
2010,angular,3
2010,c#,76985
2010,c++,33024
2010,html,24786
2010,ios,6468
2010,iphone,32842
2010,java,85826
2010,jquery,23666
2010,php,45849
2010,python,25800
2010,sql,39596
2010,swift,11
2010,windows,8513
2010,wordpress,1787
2010,xcode,1467
2011,android,88176
2011,angular,15
2011,c#,116697
2011,c++,49402
2011,html,50363
2011,ios,39557
2011,iphone,34794
2011,java,160282
2011,jquery,44807
2011,php,83423
2011,python,40540
2011,sql,58957
2011,swift,27
2011,windows,13223
2011,wordpress,2851
2011,xcode,5273
2012,android,132027
2012,angular,1530
2012,c#,143253
2012,c++,64687
2012,html,78823
2012,ios,77392
2012,iphone,17841
2012,java,233580
2012,jquery,60323
2012,php,112673
2012,python,63436
2012,sql,78122
2012,swift,51
2012,windows,17862
2012,wordpress,5424
2012,xcode,7351
2013,android,158750
2013,angular,18193
2013,c#,169453
2013,c++,84038
2013,html,117214
2013,ios,86185
2013,iphone,7097
2013,java,306320
2013,jquery,64944
2013,php,139412
2013,python,97597
2013,sql,99767
2013,swift,97
2013,windows,19108
2013,wordpress,6933
2013,xcode,5076
2014,android,170638
2014,angular,46995
2014,c#,164986
2014,c++,84217
2014,html,133576
2014,ios,94706
2014,iphone,1892
2014,java,338804
2014,jquery,45475
2014,php,146327
2014,python,118293
2014,sql,104232
2014,swift,6533
2014,windows,16883
2014,wordpress,7345
2014,xcode,4313
2015,android,169788
2015,angular,70015
2015,c#,155178
2015,c++,81244
2015,html,129656
2015,ios,99381
2015,iphone,1072
2015,java,345585
2015,jquery,34740
2015,php,140480
2015,python,141538
2015,sql,100809
2015,swift,17188
2015,windows,15158
2015,wordpress,7109
2015,xcode,3683
2016,android,167832
2016,angular,94178
2016,c#,148173
2016,c++,72914
2016,html,122411
2016,ios,84714
2016,iphone,704
2016,java,334517
2016,jquery,27101
2016,php,132028
2016,python,167244
2016,sql,103788
2016,swift,21146
2016,windows,13220
2016,wordpress,7155
2016,xcode,2979
2017,android,152268
2017,angular,98964
2017,c#,134393
2017,c++,64980
2017,html,116702
2017,ios,70540
2017,iphone,512
2017,java,326260
2017,jquery,23087
2017,php,120487
2017,python,214135
2017,sql,105184
2017,swift,20765
2017,windows,12155
2017,wordpress,8575
2017,xcode,2478
2018,android,99904
2018,angular,62282
2018,c#,83238
2018,c++,40174
2018,html,68590
2018,ios,39646
2018,iphone,397
2018,java,215038
2018,jquery,13062
2018,php,70987
2018,python,172130
2018,sql,71191
2018,swift,13303
2018,windows,8088
2018,wordpress,7239
2018,xcode,1623
